,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29,0.0005981922149658203,0.0004884220456740979,0.0015961647033691407,0.000489259309328275,manhattan,10,"{'metric': 'manhattan', 'n_neighbors': 10}",0.7037037037037037,0.7777777777777778,0.7407407407407407,0.8076923076923077,0.6538461538461539,0.7367521367521367,0.05421645684647279,12
30,0.0008069515228271484,0.0004039408449262971,0.000994729995727539,4.4639700845598035e-06,manhattan,11,"{'metric': 'manhattan', 'n_neighbors': 11}",0.7037037037037037,0.6296296296296297,0.7407407407407407,0.7692307692307693,0.7307692307692307,0.7148148148148149,0.04747160347770042,18
31,0.0006046295166015625,0.00049426677482068,0.0009912490844726563,2.438013878952865e-05,manhattan,12,"{'metric': 'manhattan', 'n_neighbors': 12}",0.6296296296296297,0.6666666666666666,0.7407407407407407,0.8461538461538461,0.6923076923076923,0.7150997150997151,0.07483718254452248,17
32,0.0001995086669921875,0.000399017333984375,0.0013898372650146484,0.00048095703370831344,manhattan,13,"{'metric': 'manhattan', 'n_neighbors': 13}",0.6666666666666666,0.6666666666666666,0.7037037037037037,0.7307692307692307,0.7307692307692307,0.6997150997150998,0.02873682281236297,21
33,0.0007960796356201172,0.0003980555656918948,0.0011012554168701172,0.00020754344842680432,manhattan,14,"{'metric': 'manhattan', 'n_neighbors': 14}",0.6296296296296297,0.6296296296296297,0.7407407407407407,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.05678027655089737,23
34,0.0,0.0,0.0011967182159423827,0.0003988266846370742,manhattan,15,"{'metric': 'manhattan', 'n_neighbors': 15}",0.7037037037037037,0.6296296296296297,0.7037037037037037,0.6538461538461539,0.7307692307692307,0.6843304843304844,0.036955861074124206,29
35,0.0,0.0,0.0013963699340820313,0.0004886555540883141,manhattan,16,"{'metric': 'manhattan', 'n_neighbors': 16}",0.6666666666666666,0.6296296296296297,0.6666666666666666,0.7307692307692307,0.7307692307692307,0.6849002849002849,0.039818828189897425,27
36,0.0,0.0,0.00139617919921875,0.000488616573967537,manhattan,17,"{'metric': 'manhattan', 'n_neighbors': 17}",0.7777777777777778,0.6296296296296297,0.6666666666666666,0.6923076923076923,0.7692307692307693,0.707122507122507,0.0578115962772002,19
37,0.0,0.0,0.0009974002838134765,2.431401974483864e-07,manhattan,18,"{'metric': 'manhattan', 'n_neighbors': 18}",0.7037037037037037,0.6296296296296297,0.7037037037037037,0.7307692307692307,0.6923076923076923,0.6920227920227922,0.03366648717201696,26
38,0.0,0.0,0.0011967182159423827,0.00039870740052423757,manhattan,19,"{'metric': 'manhattan', 'n_neighbors': 19}",0.7407407407407407,0.6296296296296297,0.6666666666666666,0.6923076923076923,0.6923076923076923,0.6843304843304843,0.03636917013614345,31
39,0.0,0.0,0.0009974002838134765,1.1680077279964343e-07,manhattan,20,"{'metric': 'manhattan', 'n_neighbors': 20}",0.7037037037037037,0.6296296296296297,0.6666666666666666,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.04611513976136367,23
